,exp,hp,meta,mean,std,dist,upper,lower
1824,Model<br>Architecture,-0.125,weightedtau,0.03032515383026604,0.16840461092862982,KLD-PP:NS-W:SN-1000-BINS,0.19872976475889587,-0.13807945709836378
1823,Model<br>Architecture,-0.125,regret,0.18717319305382144,0.15477623057534332,KLD-PP:NS-W:SN-1000-BINS,0.34194942362916475,0.03239696247847812
1822,Model<br>Architecture,-0.125,rank,0.5185951748780799,0.1758571493125934,KLD-PP:NS-W:SN-1000-BINS,0.6944523241906734,0.3427380255654865
564,Augmentation<br>Policy,-0.125,weightedtau,-0.0010474241991777077,0.13363143701853797,SEMANTIC,0.13258401281936025,-0.1346788612177157
563,Augmentation<br>Policy,-0.125,regret,0.1992558398839811,0.18826224518915466,SEMANTIC,0.3875180850731358,0.010993594694826442
562,Augmentation<br>Policy,-0.125,rank,0.4938961091788748,0.17773516116405935,SEMANTIC,0.6716312703429341,0.3161609480148154
561,Augmentation<br>Policy,-0.125,gain,0.5736434108527131,0.4047145780039098,SEMANTIC,0.978357988856623,0.16892883284880328
560,Augmentation<br>Policy,-0.125,delta,0.0003845862254924039,0.05331458153119775,SEMANTIC,0.053699167756690154,-0.05292999530570535
1821,Model<br>Architecture,-0.125,gain,0.6937984496124029,0.3438160181323223,KLD-PP:NS-W:SN-1000-BINS,1.0376144677447252,0.34998243148008057
1820,Model<br>Architecture,-0.125,delta,0.0032281483251611117,0.03469038024673932,KLD-PP:NS-W:SN-1000-BINS,0.03791852857190044,-0.03146223192157821
1641,Model<br>Architecture,-0.125,gain,0.627906976744186,0.3701919821702932,KLD-PP:NN,0.9980989589144793,0.25771499457389285
1640,Model<br>Architecture,-0.125,delta,-0.0030896607834547288,0.04581959212792229,KLD-PP:NN,0.042729931344467564,-0.048909252911377016
2003,Model<br>Architecture,-0.125,regret,0.18588965531974183,0.16297612859291707,SEMANTIC,0.3488657839126589,0.022913526726824757
470,Augmentation<br>Policy,-0.125,delta,0.005168711838796166,0.0459071553870297,KLD-PP:NS-W:TS-100-BINS,0.05107586722582586,-0.040738443548233534
471,Augmentation<br>Policy,-0.125,gain,0.6434108527131782,0.39866016675932336,KLD-PP:NS-W:TS-100-BINS,1.0420710194725016,0.24475068595385485
472,Augmentation<br>Policy,-0.125,rank,0.5756818635884917,0.16859352540133196,KLD-PP:NS-W:TS-100-BINS,0.7442753889898237,0.4070883381871597
473,Augmentation<br>Policy,-0.125,regret,0.16585140850029784,0.15679115213990746,KLD-PP:NS-W:TS-100-BINS,0.3226425606402053,0.009060256360390373
294,Augmentation<br>Policy,-0.125,weightedtau,0.1579873496112288,0.20978415077805343,KLD-PP:NS-1000-BINS,0.3677715003892822,-0.05179680116682464
293,Augmentation<br>Policy,-0.125,regret,0.1652534658368754,0.1545823035694887,KLD-PP:NS-1000-BINS,0.3198357694063641,0.01067116226738668
383,Augmentation<br>Policy,-0.125,regret,0.16553600999077087,0.1459929738751059,KLD-PP:NS-W:SN-1000-BINS,0.3115289838658768,0.019543036115664963
292,Augmentation<br>Policy,-0.125,rank,0.5759587185165094,0.1693511731919264,KLD-PP:NS-1000-BINS,0.7453098917084358,0.406607545324583
290,Augmentation<br>Policy,-0.125,delta,0.0051681310400482385,0.04591079434174786,KLD-PP:NS-1000-BINS,0.05107892538179609,-0.04074266330169962
474,Augmentation<br>Policy,-0.125,weightedtau,0.15742475456118454,0.2081794272080297,KLD-PP:NS-W:TS-100-BINS,0.3656041817692143,-0.05075467264684516
2000,Model<br>Architecture,-0.125,delta,-0.0001444664112357146,0.04399508186528141,SEMANTIC,0.04385061545404569,-0.04413954827651712
2001,Model<br>Architecture,-0.125,gain,0.6937984496124031,0.37648222546233345,SEMANTIC,1.0702806750747365,0.31731622415006966
2002,Model<br>Architecture,-0.125,rank,0.5169566505381156,0.1776329038513759,SEMANTIC,0.6945895543894914,0.3393237466867397
1554,Model<br>Architecture,-0.125,weightedtau,-0.03403731057711153,0.15187915029318735,FID,0.11784183971607581,-0.1859164608702989
291,Augmentation<br>Policy,-0.125,gain,0.6395348837209303,0.40004939655477867,KLD-PP:NS-1000-BINS,1.039584280275709,0.2394854871661516
384,Augmentation<br>Policy,-0.125,weightedtau,0.07690984800715919,0.20098875555739562,KLD-PP:NS-W:SN-1000-BINS,0.2778986035645548,-0.12407890755023643
1642,Model<br>Architecture,-0.125,rank,0.4749911513587815,0.1490165511166946,KLD-PP:NN,0.6240077024754761,0.3259746002420869
2181,Pretraining<br>Data,-0.125,gain,0.3372093023255814,0.37397069559973634,FED,0.7111799979253177,-0.03676139327415495
1913,Model<br>Architecture,-0.125,regret,0.20902851968111447,0.19846397966519172,KLD-PP:NS-W:TS-100-BINS,0.40749249934630616,0.010564540015922746
1914,Model<br>Architecture,-0.125,weightedtau,0.029907177046759697,0.13741053851112148,KLD-PP:NS-W:TS-100-BINS,0.16731771555788116,-0.10750336146436178
2090,Model<br>Architecture,-0.125,delta,-0.0013683961959464219,0.04416782594721136,VDNA-PP:NN-1000-BINS,0.04279942975126494,-0.04553622214315778
2091,Model<br>Architecture,-0.125,gain,0.6434108527131782,0.37500569991108174,VDNA-PP:NN-1000-BINS,1.01841655262426,0.2684051528020965
2182,Pretraining<br>Data,-0.125,rank,0.651605868011328,0.17437846572740193,FED,0.8259843337387299,0.4772274022839261
1911,Model<br>Architecture,-0.125,gain,0.6472868217054264,0.39722781584438244,KLD-PP:NS-W:TS-100-BINS,1.0445146375498089,0.25005900586104396
2183,Pretraining<br>Data,-0.125,regret,0.1925136926906708,0.17335247285204633,FED,0.3658661655427171,0.019161219838624483
